year,month,n_affaires,n_suivis,n_documents,n_things,n_enveloppes,n_acteurs
2002,12,29,59,17528,30941,14,3037
2003,1,10,50,496,175,14,91
2003,2,14,128,553,98,27,89
2003,3,15,135,909,89,56,244
2003,4,78,403,704,110,143,133
2003,5,67,627,941,108,190,125
2003,6,75,551,764,109,221,150
2003,7,105,558,706,189,183,147
2003,8,34,419,761,69,151,61
2003,9,81,594,643,121,185,141
2003,10,63,674,687,58,215,75
2003,11,105,609,859,94,237,110
2003,12,38,524,957,212,222,67
2004,1,52,587,1297,107,169,97
2004,2,129,1188,1604,139,299,94
2004,3,176,1855,2436,162,440,136
2004,4,124,1628,1937,220,358,112
2004,5,142,1844,2317,154,438,124
2004,6,145,2179,3768,76,538,91
2004,7,155,1956,2504,204,462,90
2004,8,507,1821,2164,160,515,106
2004,9,945,1877,2169,64,546,122
2004,10,250,2267,3538,108,608,149
2004,11,274,2514,3457,193,752,129
2004,12,281,2075,2655,109,633,105
2005,1,287,2249,3087,205,672,161
2005,2,225,2470,3162,223,766,142
2005,3,349,2981,3389,154,839,268
2005,4,440,3068,3330,105,873,182
2005,5,401,2847,2840,115,823,179
2005,6,520,3373,3113,150,990,204
2005,7,538,2946,2863,245,843,131
2005,8,337,2869,2679,96,799,140
2005,9,328,3134,4515,144,923,163
2005,10,294,3151,5014,106,880,128
2005,11,332,3125,3753,224,887,149
2005,12,229,2302,2469,104,593,100
2006,1,440,2552,3201,102,732,169
2006,2,648,3076,3048,72,776,202
2006,3,601,3443,3400,77,943,157
2006,4,537,2802,2854,55,819,218
2006,5,805,3836,3681,113,1161,270
2006,6,700,3727,3238,86,989,372
2006,7,656,3859,4016,116,997,261
2006,8,638,3328,3385,109,939,335
2006,9,683,3126,3754,113,958,240
2006,10,664,3760,3639,159,1140,357
2006,11,688,3834,4246,159,1038,243
2006,12,407,2592,2626,106,803,203
2007,1,533,3512,3582,103,891,152
2007,2,2306,3185,3629,168,888,255
2007,3,724,4244,4543,191,1317,248
2007,4,581,3688,3349,103,1053,229
2007,5,780,4347,3626,113,1099,162
2007,6,687,4301,4040,226,1114,199
2007,7,666,4203,3881,139,1153,155
2007,8,547,3430,3107,130,976,134
2007,9,607,3730,3119,97,944,171
2007,10,863,4708,4463,267,1234,257
2007,11,827,4480,4105,215,1097,211
2007,12,1447,4363,5449,155,784,145
2008,1,2075,6638,7732,430,1016,185
2008,2,1964,6428,6867,671,1120,210
2008,3,1483,5568,6517,1130,976,120
2008,4,1787,6582,8077,92,1168,228
2008,5,1706,6450,6872,221,1153,188
2008,6,1885,6744,7111,225,1245,200
2008,7,2068,7194,7764,496,1226,221
2008,8,1518,5570,5528,471,925,222
2008,9,1677,6076,6138,724,1163,400
2008,10,1821,7138,7030,470,1160,736
2008,11,1588,6054,6355,156,1045,1069
2008,12,1630,5586,6335,171,913,897
2009,1,1888,6309,6003,194,943,891
2009,2,1811,6361,6586,234,1086,907
2009,3,1948,7519,7164,333,1423,850
2009,4,1925,6487,6402,5182,1139,892
2009,5,1900,6543,6520,980,1134,635
2009,6,2039,7299,6716,1396,1257,1317
2009,7,2115,6993,7128,1349,1296,707
2009,8,1708,5834,5849,787,998,553
2009,9,1946,6906,6861,827,1168,374
2009,10,1938,7180,7475,979,1348,291
2009,11,1986,6870,7582,1169,1201,305
2009,12,1861,6287,7161,775,1000,278
2010,1,1798,6853,6817,456,991,248
2010,2,1815,6022,7100,316,1042,266
2010,3,2285,7911,11109,279,1395,306
2010,4,2036,6921,7544,556,1222,244
2010,5,1782,6903,7266,337,1116,263
2010,6,2015,7595,8566,1832,1470,559
2010,7,1934,7654,7648,886,1220,328
2010,8,1808,6760,6741,1573,1011,216
2010,9,1806,6980,7162,289,1128,221
2010,10,1740,7072,7327,155,1205,136
2010,11,1813,7413,7790,315,1136,337
2010,12,1501,6101,7148,154,905,193
2011,1,2056,6339,6750,133,981,227
2011,2,1786,6716,6882,180,1019,288
2011,3,2230,8185,8232,147,1333,302
2011,4,2017,6933,6966,194,1188,291
2011,5,2214,8891,8291,249,1363,380
2011,6,1904,7131,7764,266,1250,284
2011,7,1884,7331,8166,232,1281,235
2011,8,1828,7624,7349,144,1148,246
2011,9,2957,8103,7972,120,1289,238
2011,10,1853,7876,7882,173,1230,245
2011,11,2251,8708,8898,206,1305,391
2011,12,1703,7219,7631,133,1005,230
2012,1,2307,8813,7764,805,1044,271
2012,2,2068,8515,7982,256,1178,328
2012,3,2152,8713,8533,285,1299,243
2012,4,2304,7477,7248,175,1237,323
2012,5,2559,8221,7775,6158,1139,273
2012,6,1972,8629,8223,764,1115,268
2012,7,2261,8612,8274,1010,1186,210
2012,8,1873,7664,7258,753,1044,222
2012,9,1834,7261,7057,782,1007,246
2012,10,2205,8793,8466,668,1165,222
2012,11,2090,9848,9179,837,1228,244
2012,12,1696,6081,7171,434,914,227
2013,1,2251,8682,7795,319,1062,241
2013,2,2116,7998,7865,563,997,214
2013,3,2748,8764,8484,188,1365,242
2013,4,2524,8991,8827,1085,1321,262
2013,5,2299,8691,8149,304,1247,270
2013,6,2166,9252,8478,546,1495,376
2013,7,4707,10742,10130,413,1648,325
2013,8,5644,8412,8460,643,1189,234
2013,9,1996,8924,8706,778,1286,282
2013,10,2365,10894,9439,443,1437,288
2013,11,2309,9806,10175,336,1509,314
2013,12,1934,8432,8440,179,1063,223
2014,1,2538,9934,9005,891,1188,224
2014,2,2057,9700,8451,218,1317,221
2014,3,1888,9485,9537,8694,1521,300
2014,4,2987,9530,9559,361,1559,311
2014,5,2371,10015,9845,447,1547,252
2014,6,1962,9510,10175,235,1832,398
2014,7,2165,11076,10935,462,1619,230
2014,8,1668,9030,8369,426,1146,195
2014,9,1995,9130,9439,316,1467,251
2014,10,1970,10040,10246,597,1626,1123
2014,11,1817,9814,9804,462,1655,232
2014,12,1585,8009,9253,274,1284,217
2015,1,2278,9839,9560,270,1383,233
2015,2,2285,9884,9966,225,1491,301
2015,3,3299,11196,11845,757,1733,529
2015,4,2118,10301,10226,421,1575,252
2015,5,1878,9375,9244,660,1476,227
2015,6,2176,11200,10997,461,1852,332
2015,7,2155,11202,10365,765,1750,249
2015,8,1934,9400,9259,337,1538,270
2015,9,2198,9584,9614,204,1537,275
2015,10,2102,10399,10188,259,1642,237
2015,11,1975,10194,10610,181,1473,239
2015,12,1676,8308,9576,267,1322,194
2016,1,2255,10441,9783,514,1282,281
2016,2,2467,12015,10644,331,1578,277
2016,3,1802,10369,12502,1016,1550,287
2016,4,2789,10691,10917,833,1600,305
2016,5,1790,10780,10653,1111,1741,282
2016,6,1965,11718,11345,581,1728,328
2016,7,1921,9953,9981,2270,1472,289
2016,8,1771,9472,9059,410,1423,234
2016,9,1823,9758,10443,363,1592,225
2016,10,1883,9599,9898,160,1312,261
2016,11,6473,10974,11456,259,1404,256
2016,12,1729,8554,10453,277,1309,388
2017,1,2322,10425,10375,271,1102,197
2017,2,2046,9647,9486,2027,1259,262
2017,3,2811,12159,11785,299,1654,352
2017,4,1837,9477,9101,316,1341,234
2017,5,3093,11410,11370,394,1578,289
2017,6,2062,11789,11887,640,1543,311
2017,7,1865,10255,10515,366,1361,294
2017,8,1875,9762,10197,419,1332,264
2017,9,1723,9296,9534,270,1235,277
2017,10,1359,6728,7332,194,876,133
